Date,Time,Temperature(Â°C),Interval(in minutes)
2025-08-07,09:09:03,-,5 min
07-08-2025,09:09:03,28.3,5
07-08-2025,09:14:03,28.3,5
07-08-2025,09:19:03,28.3,5
07-08-2025,09:24:03,28.2,5
07-08-2025,09:29:03,28.2,5
07-08-2025,09:34:03,28.2,5
07-08-2025,09:39:03,28.2,5
07-08-2025,09:44:03,28.2,5
07-08-2025,09:49:03,28.2,5
07-08-2025,09:54:03,28.2,5
07-08-2025,09:59:03,28.1,5
07-08-2025,10:04:03,28.1,5
07-08-2025,10:09:03,28.1,5
07-08-2025,10:14:03,28.1,5
07-08-2025,10:19:03,28.1,5
07-08-2025,10:24:03,28.1,5
07-08-2025,10:29:03,28.1,5
07-08-2025,10:34:03,28.0,5
07-08-2025,10:39:03,28.0,5
07-08-2025,10:44:03,28.0,5
07-08-2025,10:49:03,28.0,5
07-08-2025,10:54:03,28.0,5
07-08-2025,10:59:03,28.0,5
07-08-2025,11:04:03,28.0,5
07-08-2025,11:09:03,28.0,5
07-08-2025,11:14:03,28.0,5
07-08-2025,11:19:03,27.9,5
07-08-2025,11:24:03,27.9,5
07-08-2025,11:29:03,28.1,5
07-08-2025,11:34:03,28.3,5
07-08-2025,11:39:03,28.5,5
